"ID"	"CellType"	"Sample"
"c9857"	"B_cell"	"sample1"
"c9858"	"Epithelial_cell"	"sample1"
"c9859"	"CD4+_T_cell"	"sample1"
"c9860"	"B_cell"	"sample1"
"c9861"	"CD4+_T_cell"	"sample1"
"c9862"	"CD4+_T_cell"	"sample1"
"c9863"	"CD4+_T_cell"	"sample1"
"c9864"	"Plasma_cell"	"sample1"
"c9865"	"B_cell"	"sample1"
"c9866"	"CD4+_T_cell"	"sample1"
"c9867"	"CD4+_T_cell"	"sample1"
"c9868"	"CD4+_T_cell"	"sample1"
"c9869"	"CD4+_T_cell"	"sample1"
"c9870"	"Epithelial_cell"	"sample1"
"c9871"	"Endothelial_cell"	"sample1"
"c9872"	"CD4+_T_cell"	"sample1"
"c9873"	"CD8+_T_cell"	"sample1"
"c9874"	"CD8+_T_cell"	"sample1"
"c9875"	"Macrophage"	"sample1"
"c9876"	"Epithelial_cell"	"sample1"
"c9877"	"CD4+_T_cell"	"sample1"
"c9878"	"Epithelial_cell"	"sample1"
"c9879"	"CD8+_T_cell"	"sample1"
"c9880"	"Macrophage"	"sample1"
"c9881"	"CD8+_T_cell"	"sample1"
"c9882"	"CD8+_T_cell"	"sample1"
"c9883"	"CD4+_T_cell"	"sample1"
"c9884"	"CD8+_T_cell"	"sample1"
"c9885"	"Macrophage"	"sample1"
"c9886"	"CD4+_T_cell"	"sample1"
"c9887"	"Epithelial_cell"	"sample1"
"c9888"	"CD4+_T_cell"	"sample1"
"c9889"	"CD4+_T_cell"	"sample1"
"c9890"	"Epithelial_cell"	"sample1"
"c9891"	"B_cell"	"sample1"
"c9892"	"CD4+_T_cell"	"sample1"
"c9893"	"CD8+_T_cell"	"sample1"
"c9894"	"CD4+_T_cell"	"sample1"
"c9895"	"B_cell"	"sample1"
"c9896"	"CD4+_T_cell"	"sample1"
"c9897"	"CD4+_T_cell"	"sample1"
"c9898"	"CD8+_T_cell"	"sample1"
"c9899"	"B_cell"	"sample1"
"c9900"	"Epithelial_cell"	"sample1"
"c9901"	"CD4+_T_cell"	"sample1"
"c9902"	"Epithelial_cell"	"sample1"
"c9903"	"Macrophage"	"sample1"
"c9904"	"CD8+_T_cell"	"sample1"
"c9905"	"CD8+_T_cell"	"sample1"
"c9906"	"CD8+_T_cell"	"sample1"
"c9907"	"Epithelial_cell"	"sample1"
"c9908"	"CD4+_T_cell"	"sample1"
"c9909"	"CD4+_T_cell"	"sample1"
"c9910"	"CD8+_T_cell"	"sample1"
"c9911"	"B_cell"	"sample1"
"c9912"	"CD4+_T_cell"	"sample1"
"c9913"	"CD4+_T_cell"	"sample1"
"c9914"	"CD4+_T_cell"	"sample1"
"c9915"	"CD4+_T_cell"	"sample1"
"c9916"	"B_cell"	"sample1"
"c9917"	"CD4+_T_cell"	"sample1"
"c9918"	"B_cell"	"sample1"
"c9919"	"Myeloid_cell"	"sample1"
"c9920"	"B_cell"	"sample1"
"c9921"	"NK_cell"	"sample1"
"c9922"	"CD8+_T_cell"	"sample1"
"c9923"	"Epithelial_cell"	"sample1"
"c9924"	"CD4+_T_cell"	"sample1"
"c9925"	"Epithelial_cell"	"sample1"
"c9926"	"CD8+_T_cell"	"sample1"
"c9927"	"Epithelial_cell"	"sample1"
"c9928"	"CD8+_T_cell"	"sample1"
"c9929"	"B_cell"	"sample1"
"c9930"	"Fibroblast"	"sample1"
"c9931"	"CD4+_T_cell"	"sample1"
"c9932"	"Plasma_cell"	"sample1"
"c9933"	"Epithelial_cell"	"sample1"
"c9934"	"CD8+_T_cell"	"sample1"
"c9935"	"CD4+_T_cell"	"sample1"
"c9936"	"CD8+_T_cell"	"sample1"
"c9937"	"B_cell"	"sample1"
"c9938"	"CD4+_T_cell"	"sample1"
"c9939"	"CD8+_T_cell"	"sample1"
"c9940"	"Myeloid_cell"	"sample1"
"c9941"	"Epithelial_cell"	"sample1"
"c9942"	"CD8+_T_cell"	"sample1"
"c9943"	"CD4+_T_cell"	"sample1"
"c9944"	"Epithelial_cell"	"sample1"
"c9945"	"CD8+_T_cell"	"sample1"
"c9946"	"Fibroblast"	"sample1"
"c9947"	"Epithelial_cell"	"sample1"
"c9948"	"CD8+_T_cell"	"sample1"
"c9949"	"CD4+_T_cell"	"sample1"
"c9950"	"CD4+_T_cell"	"sample1"
"c9951"	"Epithelial_cell"	"sample1"
"c9952"	"CD8+_T_cell"	"sample1"
"c9953"	"CD4+_T_cell"	"sample1"
"c9954"	"CD4+_T_cell"	"sample1"
"c9955"	"CD4+_T_cell"	"sample1"
"c9956"	"Epithelial_cell"	"sample1"
"c9957"	"Fibroblast"	"sample1"
"c9958"	"CD4+_T_cell"	"sample1"
"c9959"	"CD8+_T_cell"	"sample1"
"c9960"	"CD4+_T_cell"	"sample1"
"c9961"	"CD4+_T_cell"	"sample1"
"c9962"	"CD4+_T_cell"	"sample1"
"c9963"	"CD8+_T_cell"	"sample1"
"c9964"	"CD4+_T_cell"	"sample1"
"c9965"	"CD8+_T_cell"	"sample1"
"c9966"	"Epithelial_cell"	"sample1"
"c9967"	"Macrophage"	"sample1"
"c9968"	"CD8+_T_cell"	"sample1"
"c9969"	"CD4+_T_cell"	"sample1"
"c9970"	"CD8+_T_cell"	"sample1"
"c9971"	"Epithelial_cell"	"sample1"
"c9972"	"CD4+_T_cell"	"sample1"
"c9973"	"Plasma_cell"	"sample1"
"c9974"	"Epithelial_cell"	"sample1"
"c9975"	"CD4+_T_cell"	"sample1"
"c9976"	"Endothelial_cell"	"sample1"
"c9977"	"CD4+_T_cell"	"sample1"
"c9978"	"CD4+_T_cell"	"sample1"
"c9979"	"CD4+_T_cell"	"sample1"
"c9980"	"CD8+_T_cell"	"sample1"
"c9981"	"NK_cell"	"sample1"
"c9982"	"CD4+_T_cell"	"sample1"
"c9983"	"CD8+_T_cell"	"sample1"
"c9984"	"B_cell"	"sample1"
"c9985"	"CD4+_T_cell"	"sample1"
"c9986"	"CD4+_T_cell"	"sample1"
"c9987"	"Myeloid_cell"	"sample1"
"c9988"	"Fibroblast"	"sample1"
"c9989"	"Epithelial_cell"	"sample1"
"c9990"	"B_cell"	"sample1"
"c9991"	"CD4+_T_cell"	"sample1"
"c9992"	"Epithelial_cell"	"sample1"
"c9993"	"CD4+_T_cell"	"sample1"
"c9994"	"CD4+_T_cell"	"sample1"
"c9995"	"Epithelial_cell"	"sample1"
"c9996"	"CD4+_T_cell"	"sample1"
"c9997"	"CD4+_T_cell"	"sample1"
"c9998"	"Epithelial_cell"	"sample1"
"c9999"	"B_cell"	"sample1"
"c10000"	"CD8+_T_cell"	"sample1"
"c10001"	"CD4+_T_cell"	"sample1"
"c10002"	"CD8+_T_cell"	"sample1"
"c10003"	"CD4+_T_cell"	"sample1"
"c10004"	"CD8+_T_cell"	"sample1"
"c10005"	"CD4+_T_cell"	"sample1"
"c10006"	"CD8+_T_cell"	"sample1"
"c10007"	"CD4+_T_cell"	"sample1"
"c10008"	"Myeloid_cell"	"sample1"
"c10009"	"B_cell"	"sample1"
"c10010"	"CD4+_T_cell"	"sample1"
"c10011"	"Fibroblast"	"sample1"
"c10012"	"CD4+_T_cell"	"sample1"
"c10013"	"CD4+_T_cell"	"sample1"
"c10014"	"Plasma_cell"	"sample1"
"c10015"	"Macrophage"	"sample1"
"c10016"	"Epithelial_cell"	"sample1"
"c10017"	"Myeloid_cell"	"sample1"
"c10018"	"CD4+_T_cell"	"sample1"
"c10019"	"Plasma_cell"	"sample1"
"c10020"	"B_cell"	"sample1"
"c10021"	"CD8+_T_cell"	"sample1"
"c10022"	"CD8+_T_cell"	"sample1"
"c10023"	"CD4+_T_cell"	"sample1"
"c10024"	"CD4+_T_cell"	"sample1"
"c10025"	"Epithelial_cell"	"sample1"
"c10026"	"Epithelial_cell"	"sample1"
"c10027"	"Epithelial_cell"	"sample1"
"c10028"	"CD4+_T_cell"	"sample1"
"c10029"	"CD4+_T_cell"	"sample1"
"c10030"	"CD4+_T_cell"	"sample1"
"c10031"	"Epithelial_cell"	"sample1"
"c10032"	"CD4+_T_cell"	"sample1"
"c10033"	"CD4+_T_cell"	"sample1"
"c10034"	"Macrophage"	"sample1"
"c10035"	"CD8+_T_cell"	"sample1"
"c10036"	"CD4+_T_cell"	"sample1"
"c10037"	"Fibroblast"	"sample1"
"c10038"	"CD4+_T_cell"	"sample1"
"c10039"	"NK_cell"	"sample1"
"c10040"	"Epithelial_cell"	"sample1"
"c10041"	"CD4+_T_cell"	"sample1"
"c10042"	"CD4+_T_cell"	"sample1"
"c10043"	"CD4+_T_cell"	"sample1"
"c10044"	"Macrophage"	"sample1"
"c10045"	"Myeloid_cell"	"sample1"
"c10046"	"Epithelial_cell"	"sample1"
"c10047"	"CD8+_T_cell"	"sample1"
"c10048"	"CD4+_T_cell"	"sample1"
"c10049"	"Mast_cell"	"sample1"
"c10050"	"CD4+_T_cell"	"sample1"
"c10051"	"Fibroblast"	"sample1"
"c10052"	"B_cell"	"sample1"
"c10053"	"Epithelial_cell"	"sample1"
"c10054"	"Myeloid_cell"	"sample1"
"c10055"	"CD8+_T_cell"	"sample1"
"c10056"	"Epithelial_cell"	"sample1"
"c10057"	"CD4+_T_cell"	"sample1"
"c10058"	"Fibroblast"	"sample1"
"c10059"	"Epithelial_cell"	"sample1"
"c10060"	"CD8+_T_cell"	"sample1"
"c10061"	"B_cell"	"sample1"
"c10062"	"Epithelial_cell"	"sample1"
"c10063"	"Fibroblast"	"sample1"
"c10064"	"CD4+_T_cell"	"sample1"
"c10065"	"CD4+_T_cell"	"sample1"
"c10066"	"Macrophage"	"sample1"
"c10067"	"CD8+_T_cell"	"sample1"
"c10068"	"Epithelial_cell"	"sample1"
"c10069"	"CD8+_T_cell"	"sample1"
"c10070"	"CD8+_T_cell"	"sample1"
"c10071"	"CD4+_T_cell"	"sample1"
"c10072"	"CD4+_T_cell"	"sample1"
"c10073"	"Epithelial_cell"	"sample1"
"c10074"	"B_cell"	"sample1"
"c10075"	"B_cell"	"sample1"
"c10076"	"CD8+_T_cell"	"sample1"
"c10077"	"B_cell"	"sample1"
"c10078"	"CD8+_T_cell"	"sample1"
"c10079"	"Mast_cell"	"sample1"
"c10080"	"Epithelial_cell"	"sample1"
"c10081"	"Fibroblast"	"sample1"
"c10082"	"CD8+_T_cell"	"sample1"
"c10083"	"Endothelial_cell"	"sample1"
"c10084"	"Fibroblast"	"sample1"
"c10085"	"CD4+_T_cell"	"sample1"
"c10086"	"CD4+_T_cell"	"sample1"
"c10087"	"CD4+_T_cell"	"sample1"
"c10088"	"CD4+_T_cell"	"sample1"
"c10089"	"Fibroblast"	"sample1"
"c10090"	"CD4+_T_cell"	"sample1"
"c10091"	"Plasma_cell"	"sample1"
"c10092"	"B_cell"	"sample1"
"c10093"	"Fibroblast"	"sample1"
"c10094"	"Epithelial_cell"	"sample1"
"c10095"	"CD8+_T_cell"	"sample1"
"c10096"	"CD4+_T_cell"	"sample1"
"c10097"	"B_cell"	"sample1"
"c10098"	"CD8+_T_cell"	"sample1"
"c10099"	"CD4+_T_cell"	"sample1"
"c10100"	"CD4+_T_cell"	"sample1"
"c10101"	"CD8+_T_cell"	"sample1"
"c10102"	"CD8+_T_cell"	"sample1"
"c10103"	"CD8+_T_cell"	"sample1"
"c10104"	"B_cell"	"sample1"
"c10105"	"CD8+_T_cell"	"sample1"
"c10106"	"Endothelial_cell"	"sample1"
"c10107"	"B_cell"	"sample1"
"c10108"	"CD4+_T_cell"	"sample1"
"c10109"	"Fibroblast"	"sample1"
"c10110"	"CD4+_T_cell"	"sample1"
"c10111"	"CD8+_T_cell"	"sample1"
"c10112"	"CD4+_T_cell"	"sample1"
"c10113"	"Fibroblast"	"sample1"
"c10114"	"Fibroblast"	"sample1"
"c10115"	"CD4+_T_cell"	"sample1"
"c10116"	"B_cell"	"sample1"
"c10117"	"Fibroblast"	"sample1"
"c10118"	"CD4+_T_cell"	"sample1"
"c10119"	"Plasma_cell"	"sample1"
"c10120"	"Epithelial_cell"	"sample1"
"c10121"	"CD4+_T_cell"	"sample1"
"c10122"	"CD4+_T_cell"	"sample1"
"c10123"	"CD4+_T_cell"	"sample1"
"c10124"	"Endothelial_cell"	"sample1"
"c10125"	"Fibroblast"	"sample1"
"c10126"	"CD8+_T_cell"	"sample1"
"c10127"	"B_cell"	"sample1"
"c10128"	"Epithelial_cell"	"sample1"
"c10129"	"Endothelial_cell"	"sample1"
"c10130"	"B_cell"	"sample1"
"c10131"	"CD8+_T_cell"	"sample1"
"c10132"	"Epithelial_cell"	"sample1"
"c10133"	"Epithelial_cell"	"sample1"
"c10134"	"Epithelial_cell"	"sample1"
"c10135"	"CD4+_T_cell"	"sample1"
"c10136"	"CD4+_T_cell"	"sample1"
"c10137"	"Myeloid_cell"	"sample1"
"c10138"	"Endothelial_cell"	"sample1"
"c10139"	"Endothelial_cell"	"sample1"
"c10140"	"CD4+_T_cell"	"sample1"
"c10141"	"Epithelial_cell"	"sample1"
"c10142"	"B_cell"	"sample1"
"c10143"	"CD4+_T_cell"	"sample1"
"c10144"	"CD4+_T_cell"	"sample1"
"c10145"	"NK_cell"	"sample1"
"c10146"	"Epithelial_cell"	"sample1"
"c10147"	"CD8+_T_cell"	"sample1"
"c10148"	"CD8+_T_cell"	"sample1"
"c10149"	"CD4+_T_cell"	"sample1"
"c10150"	"CD8+_T_cell"	"sample1"
"c10151"	"Epithelial_cell"	"sample1"
"c10152"	"Fibroblast"	"sample1"
"c10153"	"CD4+_T_cell"	"sample1"
"c10154"	"Epithelial_cell"	"sample1"
"c10155"	"Epithelial_cell"	"sample1"
"c10156"	"Epithelial_cell"	"sample1"
"c10157"	"Endothelial_cell"	"sample1"
"c10158"	"Epithelial_cell"	"sample1"
"c10159"	"CD4+_T_cell"	"sample1"
"c10160"	"Epithelial_cell"	"sample1"
"c10161"	"Epithelial_cell"	"sample1"
"c10162"	"Epithelial_cell"	"sample1"
"c10163"	"CD4+_T_cell"	"sample1"
"c10164"	"Myeloid_cell"	"sample1"
"c10165"	"Mast_cell"	"sample1"
"c10166"	"Epithelial_cell"	"sample1"
"c10167"	"CD8+_T_cell"	"sample1"
"c10168"	"CD4+_T_cell"	"sample1"
"c10169"	"Epithelial_cell"	"sample1"
"c10170"	"CD4+_T_cell"	"sample1"
"c10171"	"Fibroblast"	"sample1"
"c10172"	"CD4+_T_cell"	"sample1"
"c10173"	"CD8+_T_cell"	"sample1"
"c10174"	"B_cell"	"sample1"
"c10175"	"B_cell"	"sample1"
"c10176"	"CD8+_T_cell"	"sample1"
"c10177"	"NK_cell"	"sample1"
"c10178"	"Epithelial_cell"	"sample1"
"c10179"	"Fibroblast"	"sample1"
"c10180"	"CD8+_T_cell"	"sample1"
"c10181"	"Epithelial_cell"	"sample1"
"c10182"	"NK_cell"	"sample1"
"c10183"	"CD4+_T_cell"	"sample1"
"c10184"	"NK_cell"	"sample1"
"c10185"	"Epithelial_cell"	"sample1"
"c10186"	"CD4+_T_cell"	"sample1"
"c10187"	"Endothelial_cell"	"sample1"
"c10188"	"CD4+_T_cell"	"sample1"
"c10189"	"Epithelial_cell"	"sample1"
"c10190"	"CD8+_T_cell"	"sample1"
"c10191"	"Epithelial_cell"	"sample1"
"c10192"	"CD8+_T_cell"	"sample1"
"c10193"	"Plasma_cell"	"sample1"
"c10194"	"Macrophage"	"sample1"
"c10195"	"CD8+_T_cell"	"sample1"
"c10196"	"Fibroblast"	"sample1"
"c10197"	"Myeloid_cell"	"sample1"
"c10198"	"Plasma_cell"	"sample1"
"c10199"	"Plasma_cell"	"sample1"
"c10200"	"Fibroblast"	"sample1"
"c10201"	"CD8+_T_cell"	"sample1"
"c10202"	"CD4+_T_cell"	"sample1"
"c10203"	"CD4+_T_cell"	"sample1"
"c10204"	"CD4+_T_cell"	"sample1"
"c10205"	"Endothelial_cell"	"sample1"
"c10206"	"NK_cell"	"sample1"
"c10207"	"CD8+_T_cell"	"sample1"
"c10208"	"Fibroblast"	"sample1"
"c10209"	"CD4+_T_cell"	"sample1"
"c10210"	"Epithelial_cell"	"sample1"
"c10211"	"Myeloid_cell"	"sample1"
"c10212"	"CD4+_T_cell"	"sample1"
"c10213"	"Fibroblast"	"sample1"
"c10214"	"CD4+_T_cell"	"sample1"
"c10215"	"CD8+_T_cell"	"sample1"
"c10216"	"CD4+_T_cell"	"sample1"
"c10217"	"CD4+_T_cell"	"sample1"
"c10218"	"Fibroblast"	"sample1"
"c10219"	"CD4+_T_cell"	"sample1"
"c10220"	"CD4+_T_cell"	"sample1"
"c10221"	"CD8+_T_cell"	"sample1"
"c10222"	"CD8+_T_cell"	"sample1"
"c10223"	"CD4+_T_cell"	"sample1"
"c10224"	"CD8+_T_cell"	"sample1"
"c10225"	"Fibroblast"	"sample1"
"c10226"	"Fibroblast"	"sample1"
"c10227"	"CD8+_T_cell"	"sample1"
"c10228"	"CD4+_T_cell"	"sample1"
"c10229"	"CD8+_T_cell"	"sample1"
"c10230"	"CD4+_T_cell"	"sample1"
"c10231"	"Macrophage"	"sample1"
"c10232"	"Epithelial_cell"	"sample1"
"c10233"	"CD4+_T_cell"	"sample1"
"c10234"	"CD4+_T_cell"	"sample1"
"c10235"	"Epithelial_cell"	"sample1"
"c10236"	"CD8+_T_cell"	"sample1"
"c10237"	"Epithelial_cell"	"sample1"
"c10238"	"CD8+_T_cell"	"sample1"
"c10239"	"CD4+_T_cell"	"sample1"
"c10240"	"CD8+_T_cell"	"sample1"
"c10241"	"Epithelial_cell"	"sample1"
"c10242"	"Epithelial_cell"	"sample1"
"c10243"	"CD8+_T_cell"	"sample1"
"c10244"	"CD4+_T_cell"	"sample1"
"c10245"	"Epithelial_cell"	"sample1"
"c10246"	"CD4+_T_cell"	"sample1"
"c10247"	"CD8+_T_cell"	"sample1"
"c10248"	"Epithelial_cell"	"sample1"
"c10249"	"CD4+_T_cell"	"sample1"
"c10250"	"Epithelial_cell"	"sample1"
"c10251"	"Myeloid_cell"	"sample1"
"c10252"	"Epithelial_cell"	"sample1"
"c10253"	"CD4+_T_cell"	"sample1"
"c10254"	"Fibroblast"	"sample1"
"c10255"	"CD8+_T_cell"	"sample1"
"c10256"	"Epithelial_cell"	"sample1"
"c10257"	"Epithelial_cell"	"sample1"
"c10258"	"CD4+_T_cell"	"sample1"
"c10259"	"CD4+_T_cell"	"sample1"
"c10260"	"CD8+_T_cell"	"sample1"
"c10261"	"CD4+_T_cell"	"sample1"
"c10262"	"CD4+_T_cell"	"sample1"
"c10263"	"CD8+_T_cell"	"sample1"
"c10264"	"Epithelial_cell"	"sample1"
"c10265"	"NK_cell"	"sample1"
"c10266"	"CD4+_T_cell"	"sample1"
"c10267"	"B_cell"	"sample1"
"c10268"	"CD4+_T_cell"	"sample1"
"c10269"	"CD8+_T_cell"	"sample1"
"c10270"	"CD4+_T_cell"	"sample1"
"c10271"	"CD4+_T_cell"	"sample1"
"c10272"	"B_cell"	"sample1"
"c10273"	"CD4+_T_cell"	"sample1"
"c10274"	"CD4+_T_cell"	"sample1"
"c10275"	"Macrophage"	"sample1"
"c10276"	"CD4+_T_cell"	"sample1"
"c10277"	"Plasma_cell"	"sample1"
"c10278"	"Epithelial_cell"	"sample1"
"c10279"	"Epithelial_cell"	"sample1"
"c10280"	"Epithelial_cell"	"sample1"
"c10281"	"Epithelial_cell"	"sample1"
"c10282"	"CD8+_T_cell"	"sample1"
"c10283"	"Epithelial_cell"	"sample1"
"c10284"	"B_cell"	"sample1"
"c10285"	"CD8+_T_cell"	"sample1"
"c10286"	"CD8+_T_cell"	"sample1"
"c10287"	"B_cell"	"sample1"
"c10288"	"CD4+_T_cell"	"sample1"
"c10289"	"CD4+_T_cell"	"sample1"
"c10290"	"Macrophage"	"sample1"
"c10291"	"CD4+_T_cell"	"sample1"
"c10292"	"CD4+_T_cell"	"sample1"
"c10293"	"B_cell"	"sample1"
"c10294"	"Endothelial_cell"	"sample1"
"c10295"	"Endothelial_cell"	"sample1"
"c10296"	"CD4+_T_cell"	"sample1"
"c10297"	"Epithelial_cell"	"sample1"
"c10298"	"CD8+_T_cell"	"sample1"
"c10299"	"CD4+_T_cell"	"sample1"
"c10300"	"Mast_cell"	"sample1"
"c10301"	"Endothelial_cell"	"sample1"
"c10302"	"CD4+_T_cell"	"sample1"
"c10303"	"CD4+_T_cell"	"sample1"
"c10304"	"CD8+_T_cell"	"sample1"
"c10305"	"CD4+_T_cell"	"sample1"
"c10306"	"Endothelial_cell"	"sample1"
"c10307"	"CD4+_T_cell"	"sample1"
"c10308"	"Epithelial_cell"	"sample1"
"c10309"	"CD4+_T_cell"	"sample1"
"c10310"	"CD4+_T_cell"	"sample1"
"c10311"	"Fibroblast"	"sample1"
"c10312"	"Epithelial_cell"	"sample1"
"c10313"	"CD4+_T_cell"	"sample1"
"c10314"	"CD8+_T_cell"	"sample1"
"c10315"	"B_cell"	"sample1"
"c10316"	"CD4+_T_cell"	"sample1"
"c10317"	"Epithelial_cell"	"sample1"
"c10318"	"CD4+_T_cell"	"sample1"
"c10319"	"B_cell"	"sample1"
"c10320"	"CD4+_T_cell"	"sample1"
"c10321"	"CD4+_T_cell"	"sample1"
"c10322"	"B_cell"	"sample1"
"c10323"	"CD4+_T_cell"	"sample1"
"c10324"	"Epithelial_cell"	"sample1"
"c10325"	"Plasma_cell"	"sample1"
"c10326"	"Plasma_cell"	"sample1"
"c10327"	"Fibroblast"	"sample1"
"c10328"	"CD4+_T_cell"	"sample1"
"c10329"	"B_cell"	"sample1"
"c10330"	"CD8+_T_cell"	"sample1"
"c10331"	"CD4+_T_cell"	"sample1"
"c10332"	"Plasma_cell"	"sample1"
"c10333"	"B_cell"	"sample1"
"c10334"	"Plasma_cell"	"sample1"
"c10335"	"CD4+_T_cell"	"sample1"
"c10336"	"CD4+_T_cell"	"sample1"
"c10337"	"Endothelial_cell"	"sample1"
"c10338"	"CD4+_T_cell"	"sample1"
"c10339"	"CD8+_T_cell"	"sample1"
"c10340"	"Macrophage"	"sample1"
"c10341"	"CD4+_T_cell"	"sample1"
"c10342"	"CD4+_T_cell"	"sample1"
"c10343"	"Epithelial_cell"	"sample1"
"c10344"	"CD4+_T_cell"	"sample1"
"c10345"	"Epithelial_cell"	"sample1"
"c10346"	"Plasma_cell"	"sample1"
"c10347"	"CD4+_T_cell"	"sample1"
"c10348"	"CD4+_T_cell"	"sample1"
"c10349"	"CD4+_T_cell"	"sample1"
"c10350"	"NK_cell"	"sample1"
"c10351"	"B_cell"	"sample1"
"c10352"	"B_cell"	"sample1"
"c10353"	"Epithelial_cell"	"sample1"
"c10354"	"CD4+_T_cell"	"sample1"
"c10355"	"Epithelial_cell"	"sample1"
"c10356"	"CD4+_T_cell"	"sample1"
"c10357"	"CD8+_T_cell"	"sample1"
"c10358"	"B_cell"	"sample1"
"c10359"	"CD4+_T_cell"	"sample1"
"c10360"	"Epithelial_cell"	"sample1"
"c10361"	"CD8+_T_cell"	"sample1"
"c10362"	"CD8+_T_cell"	"sample1"
"c10363"	"CD4+_T_cell"	"sample1"
"c10364"	"CD4+_T_cell"	"sample1"
"c10365"	"B_cell"	"sample1"
"c10366"	"CD4+_T_cell"	"sample1"
"c10367"	"Endothelial_cell"	"sample1"
"c10368"	"B_cell"	"sample1"
"c10369"	"CD4+_T_cell"	"sample1"
"c10370"	"CD4+_T_cell"	"sample1"
"c10371"	"CD4+_T_cell"	"sample1"
"c10372"	"Epithelial_cell"	"sample1"
"c10373"	"CD4+_T_cell"	"sample1"
"c10374"	"CD8+_T_cell"	"sample1"
"c10375"	"B_cell"	"sample1"
"c10376"	"CD4+_T_cell"	"sample1"
"c10377"	"Plasma_cell"	"sample1"
"c10378"	"Epithelial_cell"	"sample1"
"c10379"	"CD8+_T_cell"	"sample1"
"c10380"	"B_cell"	"sample1"
"c10381"	"Plasma_cell"	"sample1"
"c10382"	"CD4+_T_cell"	"sample1"
"c10383"	"Myeloid_cell"	"sample1"
"c10384"	"CD4+_T_cell"	"sample1"
"c10385"	"CD4+_T_cell"	"sample1"
"c10386"	"Epithelial_cell"	"sample1"
"c10387"	"CD8+_T_cell"	"sample1"
"c10388"	"Epithelial_cell"	"sample1"
"c10389"	"Plasma_cell"	"sample1"
"c10390"	"CD4+_T_cell"	"sample1"
"c10391"	"CD4+_T_cell"	"sample1"
"c10392"	"B_cell"	"sample1"
"c10393"	"Myeloid_cell"	"sample1"
"c10394"	"Epithelial_cell"	"sample1"
"c10395"	"CD4+_T_cell"	"sample1"
"c10396"	"Epithelial_cell"	"sample1"
"c10397"	"Epithelial_cell"	"sample1"
"c10398"	"Epithelial_cell"	"sample1"
"c10399"	"CD4+_T_cell"	"sample1"
"c10400"	"Epithelial_cell"	"sample1"
"c10401"	"CD4+_T_cell"	"sample1"
"c10402"	"CD8+_T_cell"	"sample1"
"c10403"	"Epithelial_cell"	"sample1"
"c10404"	"CD8+_T_cell"	"sample1"
"c10405"	"Epithelial_cell"	"sample1"
"c10406"	"Epithelial_cell"	"sample1"
"c10407"	"NK_cell"	"sample1"
"c10408"	"B_cell"	"sample1"
"c10409"	"Fibroblast"	"sample1"
"c10410"	"Endothelial_cell"	"sample1"
"c10411"	"CD8+_T_cell"	"sample1"
"c10412"	"Macrophage"	"sample1"
"c10413"	"CD4+_T_cell"	"sample1"
"c10414"	"CD8+_T_cell"	"sample1"
"c10415"	"Plasma_cell"	"sample1"
"c10416"	"CD8+_T_cell"	"sample1"
"c10417"	"CD8+_T_cell"	"sample1"
"c10418"	"CD4+_T_cell"	"sample1"
"c10419"	"CD4+_T_cell"	"sample1"
"c10420"	"Epithelial_cell"	"sample1"
"c10421"	"Epithelial_cell"	"sample1"
"c10422"	"CD4+_T_cell"	"sample1"
"c10423"	"B_cell"	"sample1"
"c10424"	"CD4+_T_cell"	"sample1"
"c10425"	"Epithelial_cell"	"sample1"
"c10426"	"Epithelial_cell"	"sample1"
"c10427"	"CD4+_T_cell"	"sample1"
"c10428"	"CD8+_T_cell"	"sample1"
"c10429"	"CD4+_T_cell"	"sample1"
"c10430"	"B_cell"	"sample1"
"c10431"	"CD4+_T_cell"	"sample1"
"c10432"	"Plasma_cell"	"sample1"
"c10433"	"CD4+_T_cell"	"sample1"
"c10434"	"Myeloid_cell"	"sample1"
"c10435"	"Epithelial_cell"	"sample1"
"c10436"	"CD8+_T_cell"	"sample1"
"c10437"	"CD8+_T_cell"	"sample1"
"c10438"	"CD8+_T_cell"	"sample1"
"c10439"	"CD8+_T_cell"	"sample1"
"c10440"	"Epithelial_cell"	"sample1"
"c10441"	"CD4+_T_cell"	"sample1"
"c10442"	"CD4+_T_cell"	"sample1"
"c10443"	"CD4+_T_cell"	"sample1"
"c10444"	"Epithelial_cell"	"sample1"
"c10445"	"CD4+_T_cell"	"sample1"
"c10446"	"B_cell"	"sample1"
"c10447"	"CD4+_T_cell"	"sample1"
"c10448"	"Fibroblast"	"sample1"
"c10449"	"B_cell"	"sample1"
"c10450"	"Epithelial_cell"	"sample1"
"c10451"	"CD4+_T_cell"	"sample1"
"c10452"	"CD8+_T_cell"	"sample1"
"c10453"	"CD8+_T_cell"	"sample1"
"c10454"	"CD4+_T_cell"	"sample1"
"c10455"	"Mast_cell"	"sample1"
"c10456"	"Macrophage"	"sample1"
"c10457"	"Plasma_cell"	"sample1"
"c10458"	"Macrophage"	"sample1"
"c10459"	"CD4+_T_cell"	"sample1"
"c10460"	"Epithelial_cell"	"sample1"
"c10461"	"Fibroblast"	"sample1"
"c10462"	"B_cell"	"sample1"
"c10463"	"Epithelial_cell"	"sample1"
"c10464"	"CD4+_T_cell"	"sample1"
"c10465"	"CD8+_T_cell"	"sample1"
"c10466"	"CD8+_T_cell"	"sample1"
"c10467"	"CD4+_T_cell"	"sample1"
