"ID"	"CellType"	"Sample"
"c150"	"CD8+_T_cell"	"sample1"
"c151"	"NK_cell"	"sample1"
"c152"	"Epithelial_cell"	"sample1"
"c153"	"CD4+_T_cell"	"sample1"
"c154"	"Macrophage"	"sample1"
"c155"	"Plasma_cell"	"sample1"
"c156"	"Epithelial_cell"	"sample1"
"c157"	"B_cell"	"sample1"
"c158"	"CD8+_T_cell"	"sample1"
"c159"	"Epithelial_cell"	"sample1"
"c160"	"Endothelial_cell"	"sample1"
"c161"	"Macrophage"	"sample1"
"c162"	"Mast_cell"	"sample1"
"c163"	"CD8+_T_cell"	"sample1"
"c164"	"Plasma_cell"	"sample1"
"c165"	"NK_cell"	"sample1"
"c166"	"Plasma_cell"	"sample1"
"c167"	"CD8+_T_cell"	"sample1"
"c168"	"Epithelial_cell"	"sample1"
"c169"	"Plasma_cell"	"sample1"
"c170"	"Epithelial_cell"	"sample1"
"c171"	"Plasma_cell"	"sample1"
"c172"	"CD8+_T_cell"	"sample1"
"c173"	"Epithelial_cell"	"sample1"
"c174"	"Epithelial_cell"	"sample1"
"c175"	"Plasma_cell"	"sample1"
"c176"	"Epithelial_cell"	"sample1"
"c177"	"Epithelial_cell"	"sample1"
"c178"	"Fibroblast"	"sample1"
"c179"	"Plasma_cell"	"sample1"
"c180"	"Epithelial_cell"	"sample1"
"c181"	"Epithelial_cell"	"sample1"
"c182"	"Epithelial_cell"	"sample1"
"c183"	"Myeloid_cell"	"sample1"
"c184"	"Plasma_cell"	"sample1"
"c185"	"Plasma_cell"	"sample1"
"c186"	"Epithelial_cell"	"sample1"
"c187"	"Epithelial_cell"	"sample1"
"c188"	"Epithelial_cell"	"sample1"
"c189"	"Epithelial_cell"	"sample1"
"c190"	"Plasma_cell"	"sample1"
"c191"	"Plasma_cell"	"sample1"
"c192"	"Epithelial_cell"	"sample1"
"c193"	"Epithelial_cell"	"sample1"
"c194"	"Epithelial_cell"	"sample1"
"c195"	"Epithelial_cell"	"sample1"
"c196"	"Fibroblast"	"sample1"
"c197"	"Plasma_cell"	"sample1"
"c198"	"Plasma_cell"	"sample1"
"c199"	"Fibroblast"	"sample1"
"c200"	"CD8+_T_cell"	"sample1"
"c201"	"CD8+_T_cell"	"sample1"
"c202"	"Epithelial_cell"	"sample1"
"c203"	"Plasma_cell"	"sample1"
"c204"	"NK_cell"	"sample1"
"c205"	"CD4+_T_cell"	"sample1"
"c206"	"Plasma_cell"	"sample1"
"c207"	"Plasma_cell"	"sample1"
"c208"	"Fibroblast"	"sample1"
"c209"	"Plasma_cell"	"sample1"
"c210"	"CD8+_T_cell"	"sample1"
"c211"	"Epithelial_cell"	"sample1"
"c212"	"Epithelial_cell"	"sample1"
"c213"	"Epithelial_cell"	"sample1"
"c214"	"Plasma_cell"	"sample1"
"c215"	"Plasma_cell"	"sample1"
"c216"	"CD4+_T_cell"	"sample1"
"c217"	"Plasma_cell"	"sample1"
"c218"	"Epithelial_cell"	"sample1"
